Epochs,Top1-FP32,Top5-FP32,Top1-MP,Top5-MP,Top1-Dyn,Top5-Dyn,Top1-BF16,Top5-BF16
17.75,0.64330,0.87890,0.63490,0.86890,0.63090,0.87310,0.61360,0.86380
18,0.63870,0.88130,0.63360,0.87490,0.61650,0.86880,0.60410,0.85690
18.25,0.64250,0.87480,0.63950,0.87380,0.62200,0.86580,0.60890,0.85770
18.5,0.65330,0.88300,0.63600,0.87520,0.62370,0.87150,0.61850,0.86660
18.75,0.65110,0.88240,0.64210,0.87530,0.63500,0.87440,0.62060,0.86590
19,0.64240,0.88090,0.63890,0.88270,0.62790,0.87360,0.61230,0.86030
19.25,0.64640,0.87430,0.63610,0.87650,0.62960,0.86770,0.60890,0.85770
19.5,0.64150,0.87560,0.63630,0.87540,0.63210,0.87090,0.61250,0.85820
19.75,0.64760,0.88150,0.64120,0.88070,0.62670,0.86950,0.62000,0.86510
20,0.63850,0.87970,0.63590,0.87630,0.63290,0.87100,0.61630,0.86400
20.25,0.64080,0.87980,0.64020,0.87370,0.61960,0.86760,0.61570,0.86360
20.5,0.64220,0.88230,0.65420,0.88640,0.63060,0.87360,0.61360,0.86190
20.75,0.64910,0.87980,0.65680,0.88710,0.63760,0.87890,0.61570,0.86310
21,0.64950,0.88320,0.63390,0.88020,0.62100,0.86760,0.61010,0.86090
21.25,0.65000,0.88550,0.64160,0.87790,0.62090,0.86660,0.61370,0.85910
21.5,0.63570,0.87510,0.63840,0.87940,0.63520,0.87280,0.61890,0.86770
21.75,0.65760,0.88640,0.64000,0.88060,0.63160,0.87370,0.62330,0.86620
22,0.64480,0.88090,0.64050,0.87810,0.63650,0.87290,0.62580,0.87010
22.25,0.65240,0.88590,0.65150,0.88530,0.63280,0.87180,0.61520,0.86300
22.5,0.65060,0.88050,0.65270,0.87860,0.63360,0.87590,0.62980,0.86810
22.75,0.65170,0.88230,0.64320,0.88140,0.63730,0.88100,0.61780,0.86860
23,0.64970,0.89000,0.64090,0.87730,0.62510,0.87070,0.61840,0.86220
23.25,0.65460,0.88690,0.64720,0.88190,0.63040,0.87060,0.61640,0.86130
23.5,0.65310,0.88780,0.64650,0.87960,0.62430,0.86960,0.63090,0.86770
23.75,0.64880,0.88290,0.64250,0.88190,0.64100,0.87690,0.62000,0.86580
24,0.64410,0.88300,0.63920,0.88240,0.62700,0.86980,0.61670,0.86710
24.25,0.64870,0.88930,0.64000,0.87920,0.62910,0.86950,0.60940,0.85930
24.5,0.66110,0.88880,0.65440,0.88700,0.64010,0.87380,0.62930,0.86940
24.75,0.65840,0.88820,0.65940,0.88530,0.65140,0.88030,0.62910,0.87380
25,0.65200,0.88210,0.65460,0.88580,0.63620,0.87790,0.62530,0.86860
25.25,0.65890,0.88690,0.64530,0.88230,0.62670,0.87290,0.62280,0.86850
25.5,0.65970,0.88520,0.64810,0.88160,0.63950,0.87660,0.62680,0.86930
25.75,0.65640,0.88240,0.65360,0.88640,0.64040,0.87960,0.61980,0.86830
26,0.65490,0.88600,0.65070,0.88430,0.62870,0.87660,0.62800,0.86480
26.25,0.64770,0.88310,0.65070,0.88490,0.62920,0.87220,0.61990,0.86520
26.5,0.65570,0.88390,0.66270,0.88690,0.63550,0.87830,0.63160,0.86780
26.75,0.65790,0.88550,0.64720,0.88140,0.64780,0.88020,0.62530,0.87070
27,0.65820,0.88910,0.64650,0.88300,0.63580,0.87740,0.61860,0.86830
27.25,0.65150,0.88230,0.65010,0.88450,0.62430,0.86970,0.61800,0.86520
27.5,0.66690,0.88780,0.64920,0.88450,0.64750,0.88090,0.63630,0.87150
27.75,0.65100,0.88500,0.66070,0.88460,0.64780,0.88200,0.62300,0.86910
28,0.65980,0.89300,0.64430,0.88160,0.64350,0.87880,0.62890,0.87350
28.25,0.65650,0.88940,0.65180,0.88040,0.63390,0.87540,0.62730,0.86410
28.5,0.66250,0.88840,0.65220,0.88750,0.64010,0.88080,0.62580,0.86680
28.75,0.65060,0.88690,0.64260,0.88180,0.62930,0.87770,0.62460,0.87210
29,0.65970,0.88970,0.66120,0.88390,0.63430,0.87530,0.62080,0.86040
29.25,0.65430,0.88760,0.64180,0.88070,0.63730,0.87470,0.63980,0.86920
29.5,0.66400,0.88790,0.65390,0.88320,0.64120,0.87860,0.62020,0.86500
29.75,0.65040,0.88450,0.65350,0.88450,0.64670,0.87730,0.62150,0.86700
30,0.65960,0.88690,0.64570,0.88140,0.64390,0.87930,0.62480,0.87030
30.25,0.73920,0.92660,0.73460,0.92090,0.72080,0.91950,0.71070,0.91440
30.5,0.75120,0.93040,0.74640,0.92790,0.72810,0.92430,0.72170,0.92000
30.75,0.75770,0.93060,0.75100,0.92960,0.73550,0.92540,0.72800,0.92050
31,0.75830,0.93270,0.75340,0.93000,0.73630,0.92660,0.72710,0.92110
31.25,0.75920,0.93390,0.75450,0.93000,0.74080,0.92600,0.72820,0.92160
31.5,0.76140,0.93620,0.75860,0.93340,0.73950,0.92790,0.73020,0.92140
31.75,0.75780,0.93450,0.75860,0.93340,0.74500,0.92680,0.73160,0.92310
32,0.75970,0.93370,0.75760,0.93430,0.74200,0.92700,0.73080,0.92300
